,Weekly Sales 2010,Weekly Sales 2011,Weekly Sales 2012,2012 Weekly Sales Prediction
0,1105572.0,950573.0,999009.0,975425.2895562646
1,1074148.0,903860.0,933846.0,927490.9998688427
2,1072822.0,903437.0,935133.0,927056.9407303206
3,977079.0,879997.0,885222.0,903004.1128178943
4,1041588.0,1025625.0,1024125.0,1052439.4892355916
5,1020564.0,1051915.0,1111320.0,1079416.82907423
6,999755.0,1082581.0,1115490.0,1110884.5774002739
7,980755.0,980575.0,1017145.0,1006211.6779107278
8,1120530.0,1044013.0,1041356.0,1071308.2349546058
9,1052562.0,991718.0,1055121.0,1017646.00646995
10,1004081.0,997163.0,1042256.0,1023233.3634658186
11,994099.0,952804.0,999862.0,977714.6180149943
12,971225.0,965755.0,1006064.0,991004.2158944241
13,1077850.0,1019721.0,1188940.0,1046381.1318979224
14,1007335.0,999407.0,1036206.0,1025536.0318035099
15,1002669.0,1081704.0,1001612.0,1109984.648642629
16,1061278.0,967334.0,971484.0,992624.4981159993
17,1115301.0,1041377.0,1047204.0,1068603.3179589934
18,1062812.0,1009914.0,1042797.0,1036317.7324381458
19,1058268.0,978813.0,1040532.0,1004403.6112391538
20,1035756.0,1006521.0,1064277.0,1032836.0240291499
21,1087055.0,1083822.0,1072926.0,1112158.0227688455
22,1064434.0,1059327.0,1103359.0,1087022.612371453
23,1027642.0,1054390.0,1075825.0,1081956.536799625
24,997530.0,1019647.0,1059295.0,1046305.1972022945
25,991786.0,1057300.0,1035491.0,1084942.617397968
26,1071222.0,1063539.0,1138956.0,1091344.733155034
27,1032543.0,1011465.0,1024438.0,1037909.2826127266
28,1045799.0,1006098.0,1023545.0,1032401.9648906279
29,1020216.0,970739.0,979937.0,996118.5202594212
30,1048761.0,1067010.0,1055242.0,1094906.4808377998
31,1014098.0,1027768.0,1053410.0,1054638.516975196
32,957349.0,1042608.0,1052321.0,1069866.50188221
33,919078.0,1053710.0,1054385.0,1081258.758515476
34,938664.0,1008369.0,1047992.0,1034732.3391307781
35,1002288.0,1039183.0,1074001.0,1066351.9568480777
36,958877.0,973199.0,982801.0,998642.8358167834
37,957037.0,949291.0,985657.0,974109.7722617369
38,968952.0,937685.0,971887.0,962200.3387825723
39,1017377.0,1049149.0,1057036.0,1076578.513289001
40,1024996.0,986107.0,1025078.0,1011888.3094811861
41,1002791.0,1018199.0,1002720.0,1044819.3399148715
42,1462689.0,1019018.0,1012091.0,1045659.7522894567
43,1109090.0,1081234.0,,1109502.3607109378
44,1237039.0,1077205.0,,1105368.0243773556
45,1373796.0,1031977.0,,1058957.5593251705
46,1798476.0,1479858.0,,1518548.2000352994
47,898500.0,1097568.0,,1126263.4055540082
